作品セグメント名,期,対象年月,売上_円,総売上原価_円,作品利益_円,作品利益率
印税収入一般,64,202503,11421831,0,11421831,1.0
印税収入音事協,64,202503,313317,31230,282087,0.9003
商品企画室,64,202503,460365388,255097301,82821504,0.1799
戦略ﾌﾟﾛｼﾞｪｸﾄ,64,202503,-91622656,40872142,-132494798,1.4461
本社共通,64,202503,-205056944,135564258,-340621202,1.6611
海外事業部,64,202503,6306354047,254013263,5999395675,0.9513
社内受注,64,202503,67009259,40092357,5055833,0.0754
福島県・須賀川市,64,202503,50141365,32598481,17513253,0.3493
製作ｸﾞﾙｰﾌﾟ,64,202503,1034432982,964990508,-535824871,-0.518
音楽事業部,64,202503,23743636,30902208,-20462273,-0.8618
ﾃﾞｨｽﾄﾘﾋﾞｭｰｼｮﾝ,64,202503,0,0,-2499000,0.0
ﾋｰﾛｰｽﾞEXPONGW (出資)ソラマチ,64,202503,30604805,19521283,11083522,0.3621
ﾋｰﾛｰｽﾞEXPOニューイヤーフェス,64,202503,149687397,104604182,45083215,0.3012
